,architecture,model_type,embeddings,hidden,num_layers,dropouts,bidirectional,learning_rate,epochs,dev_acc,dev_prec,dev_recall,metric
143,47,LSTM,Law2Vec,0.3333333333333333,2,0.75,True,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,recall
144,48,LSTM,Law2Vec,0.6666666666666666,1,0.5,False,0.01,10,0.8813559322033898,1.0,0.125,accuracy
145,48,LSTM,Law2Vec,0.6666666666666666,1,0.5,False,0.01,10,0.8813559322033898,1.0,0.125,precision
146,48,LSTM,Law2Vec,0.6666666666666666,1,0.5,False,0.01,10,0.13559322033898305,0.13559322033898305,1.0,recall
147,49,LSTM,Law2Vec,0.6666666666666666,1,0.5,False,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,accuracy
148,49,LSTM,Law2Vec,0.6666666666666666,1,0.5,False,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,precision
149,49,LSTM,Law2Vec,0.6666666666666666,1,0.5,False,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,recall
150,50,LSTM,Law2Vec,0.6666666666666666,1,0.5,True,0.01,10,0.864406779661017,,0.0,accuracy
151,50,LSTM,Law2Vec,0.6666666666666666,1,0.5,True,0.01,10,0.2711864406779661,0.1568627450980392,1.0,precision
152,50,LSTM,Law2Vec,0.6666666666666666,1,0.5,True,0.01,10,0.13559322033898305,0.13559322033898305,1.0,recall
153,51,LSTM,Law2Vec,0.6666666666666666,1,0.5,True,0.0001,10,0.6949152542372882,0.08333333333333333,0.125,accuracy
154,51,LSTM,Law2Vec,0.6666666666666666,1,0.5,True,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,precision
155,51,LSTM,Law2Vec,0.6666666666666666,1,0.5,True,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,recall
156,52,LSTM,Law2Vec,0.6666666666666666,1,0.75,False,0.01,10,0.864406779661017,0.5,0.125,accuracy
157,52,LSTM,Law2Vec,0.6666666666666666,1,0.75,False,0.01,10,0.864406779661017,0.5,0.125,precision
158,52,LSTM,Law2Vec,0.6666666666666666,1,0.75,False,0.01,10,0.15254237288135594,0.13793103448275862,1.0,recall
159,53,LSTM,Law2Vec,0.6666666666666666,1,0.75,False,0.0001,10,0.7288135593220338,0.1,0.125,accuracy
160,53,LSTM,Law2Vec,0.6666666666666666,1,0.75,False,0.0001,10,0.15254237288135594,0.13793103448275862,1.0,precision
161,53,LSTM,Law2Vec,0.6666666666666666,1,0.75,False,0.0001,10,0.15254237288135594,0.13793103448275862,1.0,recall
162,54,LSTM,Law2Vec,0.6666666666666666,1,0.75,True,0.01,10,0.864406779661017,,0.0,accuracy
163,54,LSTM,Law2Vec,0.6666666666666666,1,0.75,True,0.01,10,0.8135593220338984,0.2,0.125,precision
164,54,LSTM,Law2Vec,0.6666666666666666,1,0.75,True,0.01,10,0.13559322033898305,0.13559322033898305,1.0,recall
165,55,LSTM,Law2Vec,0.6666666666666666,1,0.75,True,0.0001,10,0.22033898305084745,0.14814814814814814,1.0,accuracy
166,55,LSTM,Law2Vec,0.6666666666666666,1,0.75,True,0.0001,10,0.22033898305084745,0.14814814814814814,1.0,precision
167,55,LSTM,Law2Vec,0.6666666666666666,1,0.75,True,0.0001,10,0.15254237288135594,0.13793103448275862,1.0,recall
168,56,LSTM,Law2Vec,0.6666666666666666,2,0.5,False,0.01,10,0.864406779661017,,0.0,accuracy
169,56,LSTM,Law2Vec,0.6666666666666666,2,0.5,False,0.01,10,0.3050847457627119,0.14893617021276595,0.875,precision
170,56,LSTM,Law2Vec,0.6666666666666666,2,0.5,False,0.01,10,0.13559322033898305,0.13559322033898305,1.0,recall
171,57,LSTM,Law2Vec,0.6666666666666666,2,0.5,False,0.0001,10,0.6949152542372882,0.08333333333333333,0.125,accuracy
172,57,LSTM,Law2Vec,0.6666666666666666,2,0.5,False,0.0001,10,0.23728813559322035,0.13725490196078433,0.875,precision
173,57,LSTM,Law2Vec,0.6666666666666666,2,0.5,False,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,recall
174,58,LSTM,Law2Vec,0.6666666666666666,2,0.5,True,0.01,10,0.864406779661017,,0.0,accuracy
175,58,LSTM,Law2Vec,0.6666666666666666,2,0.5,True,0.01,10,0.288135593220339,0.14583333333333334,0.875,precision
176,58,LSTM,Law2Vec,0.6666666666666666,2,0.5,True,0.01,10,0.13559322033898305,0.13559322033898305,1.0,recall
177,59,LSTM,Law2Vec,0.6666666666666666,2,0.5,True,0.0001,10,0.864406779661017,,0.0,accuracy
178,59,LSTM,Law2Vec,0.6666666666666666,2,0.5,True,0.0001,10,0.864406779661017,,0.0,precision
179,59,LSTM,Law2Vec,0.6666666666666666,2,0.5,True,0.0001,10,0.864406779661017,,0.0,recall
180,60,LSTM,Law2Vec,0.6666666666666666,2,0.75,False,0.01,10,0.864406779661017,,0.0,accuracy
181,60,LSTM,Law2Vec,0.6666666666666666,2,0.75,False,0.01,10,0.13559322033898305,0.13559322033898305,1.0,precision
182,60,LSTM,Law2Vec,0.6666666666666666,2,0.75,False,0.01,10,0.13559322033898305,0.13559322033898305,1.0,recall
183,61,LSTM,Law2Vec,0.6666666666666666,2,0.75,False,0.0001,10,0.864406779661017,,0.0,accuracy
184,61,LSTM,Law2Vec,0.6666666666666666,2,0.75,False,0.0001,10,0.864406779661017,,0.0,precision
185,61,LSTM,Law2Vec,0.6666666666666666,2,0.75,False,0.0001,10,0.864406779661017,,0.0,recall
186,62,LSTM,Law2Vec,0.6666666666666666,2,0.75,True,0.01,10,0.864406779661017,,0.0,accuracy
187,62,LSTM,Law2Vec,0.6666666666666666,2,0.75,True,0.01,10,0.13559322033898305,0.13559322033898305,1.0,precision
188,62,LSTM,Law2Vec,0.6666666666666666,2,0.75,True,0.01,10,0.13559322033898305,0.13559322033898305,1.0,recall
189,63,LSTM,Law2Vec,0.6666666666666666,2,0.75,True,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,accuracy
190,63,LSTM,Law2Vec,0.6666666666666666,2,0.75,True,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,precision
191,63,LSTM,Law2Vec,0.6666666666666666,2,0.75,True,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,recall
